Quartile	approach	coef	stderr	pval	qval	ci_low	ci_high	n	n_everyday	n_never	n_former	n_notdaily
Quartile 1	B_4level_factor	0.09848167652962288	0.022901262592137803	1.953750928865889e-05	3.907501857731778e-05	0.053516577751566555	0.1434467753076792	710	293	331	49	37
Quartile 2	B_4level_factor	0.11430239559025103	0.02638126164285088	1.715855570166108e-05	3.907501857731778e-05	0.06249574839390787	0.1661090427865942	650	352	204	56	38
Quartile 3	B_4level_factor	0.0312875653530806	0.026744359024275976	0.24249213326912042	0.24249213326912042	-0.021230991840134925	0.08380612254629613	657	342	190	106	19
Quartile 4	B_4level_factor	0.06472471982049037	0.024172877457690704	0.007575952638227908	0.010101270184303878	0.017271079163392683	0.11217836047758806	784	330	236	191	27
