"feature"	"smoking_coef"	"age_coef"	"direction_concordant"	"male_smoking_coef_maaslin2"	"male_stderr_maaslin2"	"male_pval_maaslin2"	"male_qval_maaslin2"	"male_ci_low_maaslin2"	"male_ci_high_maaslin2"	"same_direction_as_full_maaslin2"
"1044419"	0.146965575	0.0013628894210422	TRUE	0.0838260709121748	0.127015541019343	0.50932973089212	0.582091121019566	-0.165124389485738	0.332776531310088	TRUE
"1105984"	-0.0646595854170576	-0.0015579800372736	TRUE	-0.229117102189529	0.12432048079774	0.0654420753729494	0.137772790258841	-0.472785244553099	0.014551040174041	TRUE
"175535"	-0.0349074040374265	-0.0011252600656203	TRUE	-0.281717964306635	0.105860546454116	0.00783070814136638	0.0374984299176619	-0.489204635356702	-0.0742312932565675	TRUE
"178712"	0.0664351801253404	0.0010174822560265	TRUE	0.0375799407808917	0.0938478749676178	0.688867222196775	0.744721321293811	-0.146361894155639	0.221521775717423	TRUE
"180806"	-0.044465708	-0.0022444746861569	TRUE	-0.144112342577523	0.134646079676589	0.284575193171014	0.344939628086078	-0.408018658743636	0.119793973588591	TRUE
"180999"	-0.114200878	-0.0012643226446706	TRUE	-0.20477568657293	0.125037551837109	0.101594809058416	0.163329915849567	-0.449849288173663	0.040297915027804	TRUE
"191355"	-0.078450718583713	-0.0036880883737698	TRUE	-0.0142131004954256	0.146459287498828	0.922697886370099	0.922697886370099	-0.301273303993128	0.272847103002276	TRUE
"192347"	0.103629322973242	0.0023459862967701	TRUE	0.30281483694296	0.180160295885921	0.0929127450958595	0.161587382775408	-0.0502993429934449	0.655929016879365	TRUE
"195436"	-0.022666071	-0.0005973777555178	TRUE	-0.119020027832393	0.0928339005019667	0.199923377524352	0.27575638279221	-0.300974472816248	0.0629344171514618	TRUE
"248902"	0.122553201313156	0.0022318961049739	TRUE	0.482764282122707	0.166427131479265	0.00375192473648653	0.0374984299176619	0.156567104423348	0.808961459822066	TRUE
"289730"	0.040996176228822	0.0018885695366651	TRUE	0.224774725496245	0.104123530459391	0.0309564650628062	0.0952506617317112	0.0206926057958396	0.428856845196651	TRUE
"304161"	-0.052450363	-0.0007724426083648	TRUE	-0.116832447886748	0.0788998721335872	0.138781748985572	0.198259641407959	-0.271476197268579	0.0378113014950831	TRUE
"3589845"	0.0929852167673895	0.0021577607812039	TRUE	0.436301797465913	0.162805566873157	0.00740802836680536	0.0374984299176619	0.117202886394524	0.755400708537301	TRUE
"3931537"	-0.094619631	-0.0051555826037346	TRUE	-0.433480341787732	0.16444995533502	0.00843714673147394	0.0374984299176619	-0.75580225424437	-0.111158429331094	TRUE
"4295707"	0.132812156993035	0.0019247086776908	TRUE	0.26993194769624	0.172096928403789	0.116881286216969	0.173157461062177	-0.0673780319751864	0.607241927367666	TRUE
"4356065"	-0.0490485696769739	-0.0021559742022563	TRUE	-0.219334546439219	0.118172353561706	0.0635514251163499	0.137772790258841	-0.450952359420163	0.0122832665417242	TRUE
"4371341"	0.12786925226477	0.0030493596720967	TRUE	0.0652553091822076	0.179497042477836	0.716225249837662	0.753921315618591	-0.286558894074351	0.417069512438767	TRUE
"4391262"	0.169232987	0.005114333526497	TRUE	0.267612846309999	0.112431789545409	0.0173692512350277	0.063160913581919	0.0472465388009964	0.487979153819001	TRUE
"4395075"	-0.125603043382285	-0.0052328839375306	TRUE	-0.252403187960125	0.157357617428741	0.108825610138593	0.167424015597835	-0.560824118120457	0.0560177422002064	TRUE
"4403113"	-0.045940623	-0.0025983004243084	TRUE	-0.176316947055981	0.139782847889977	0.207283987934193	0.276378650578923	-0.450291328920335	0.0976574348083733	TRUE
"4413347"	-0.131239339473476	-0.0084868907746566	TRUE	-0.425813201243267	0.168487646994614	0.0115505083516514	0.0462020334066058	-0.756048989352711	-0.0955774131338229	TRUE
"4413619"	-0.051841744	-0.0016509137450567	TRUE	-0.059596110266508	0.145814989081317	0.682783687597672	0.744721321293811	-0.34539348886589	0.226201268332874	TRUE
"4416570"	-0.0866788782373254	-0.0036113948380686	TRUE	-0.319085995668484	0.153110556244143	0.037249266538676	0.0993313774364692	-0.619182685907005	-0.0189893054299635	TRUE
