feature	coef_smoking	stderr_smoking	pval_smoking	ci_low_smoking	ci_high_smoking	n_smoking	qval_smoking	coef_age	stderr_age	pval_age	ci_low_age	ci_high_age	n_age	qval_age	direction_concordant	both_fdr_sig
Atopobium	0.005446923641386927	0.0004931696438120512	4.373529929109648e-28	0.0044801306348895	0.0064137166478843545	5926	6.735236090828858e-26	-4.150350348240142e-05	1.0511288729099751e-05	7.984312288515079e-05	-6.211074227148053e-05	-2.0896264693322315e-05	4565	0.0003767597361143	False	True
Actinomyces	0.004549243959646765	0.0008297695049515909	4.36657046591756e-08	0.0029225920266706196	0.006175895892622911	5926	3.362259258756521e-06	-7.948685029855603e-05	1.8267516228542972e-05	1.383245499788388e-05	-0.0001153000677552	-4.36736328418985e-05	4565	8.033464248771023e-05	False	True
Collinsella	0.005484937120750593	0.0011870820432145388	3.909151642361613e-06	0.0031578218331035066	0.00781205240839768	5926	0.0001699114317755179	-4.7266365829256134e-05	2.7230016274568405e-05	0.0826637495113509	-0.0001006504428974	6.117711238960823e-06	4565	0.1386914019579331	False	False
[Ruminococcus]	0.013823804844662634	0.0030083131019454767	4.413283942221244e-06	0.007926410094583742	0.019721199594741525	5926	0.0001699114317755179	-0.0001126158066453	6.885414563277249e-05	0.101998807183426	-0.0002476034239813	2.2371810690733165e-05	4565	0.1638491477095461	False	False
Haemophilus	-0.011277364710367528	0.0025743251692005057	1.2034215631786737e-05	-0.016323984268691076	-0.006230745152043982	5926	0.00037065384145903155	1.9653440690259156e-05	6.505930568530651e-05	0.7626010941782916	-0.0001078944444703	0.0001472013258508	4565	0.8223421793159005	False	False
[Eubacterium]	0.009267625440919934	0.0022557479994279057	4.0371691926034755e-05	0.004845533737525091	0.013689717144314776	5926	0.0010362067594348922	3.2357399489833157e-05	5.295459562023724e-05	0.5412033845284402	-7.145936599433715e-05	0.000136174164974	4565	0.6191038716954126	True	False
Peptococcus	0.0014150872976632235	0.0003717003914693963	0.00014205130487269488	0.0006864184846210309	0.0021437561107054163	5926	0.0031251287071992874	2.0366068207438168e-06	8.690726641894887e-06	0.8147296375625719	-1.5001444723243977e-05	1.907465836473161e-05	4565	0.8527751704468437	True	False
Prauserella	0.0007606770492618075	0.00020350065954300383	0.00018727486356776395	0.00036174127344432936	0.0011596128250792857	5926	0.003605041123679456	-7.022286714154803e-06	4.75416511666196e-06	0.1397232700085846	-1.6342762854301118e-05	2.2981894259915134e-06	4565	0.2175073584669719	False	False
Unclassified_Coriobacteriaceae	0.0031111483518849936	0.0008521443713090433	0.00026351887403401586	0.0014406334914413507	0.004781663212328637	5926	0.004509100733470938	2.753493386579473e-05	1.956848962021444e-05	0.1594644628860388	-1.082882425541443e-05	6.589869198700388e-05	4565	0.2432235747049683	True	False
Dorea	0.005600069750050642	0.0015627941357516917	0.000341925865119279	0.00253642124694907	0.008663718253152215	5926	0.005265658322836896	-0.0001553315951939	3.674637139323705e-05	2.4134326023014988e-05	-0.0002273723572211	-8.329083316666825e-05	4565	0.0001349734529435	False	True
Unclassified_[Mogibacteriaceae]	0.0021162541667401214	0.0006331943844751828	0.0008363792930007491	0.000874961418199927	0.003357546915280316	5926	0.011498623116376432	4.931656818595473e-06	1.497176903255119e-05	0.7418707723426206	-2.442029302315778e-05	3.428360666034873e-05	4565	0.8117571494473602	True	False
Bulleidia	0.0021398153267034007	0.0006439423938421426	0.0008959966064708908	0.0008774525459336764	0.0034021781074731246	5926	0.011498623116376432	4.103549679918513e-06	1.6061056663619097e-05	0.798350931019897	-2.7383933767839033e-05	3.5591033127676063e-05	4565	0.8489506379155242	True	False
Slackia	0.0011395458581476144	0.0003477837477496974	0.0010567473900457828	0.0004577624205076182	0.0018213292957876106	5926	0.012518392159003888	1.5218205631169933e-05	8.215307537879926e-06	0.0640302711540329	-8.877932165386869e-07	3.1324204478878545e-05	4565	0.1098701243665792	True	False
Adlercreutzia	0.0011012997542108295	0.00035561273918881367	0.0019646854933591386	0.00040416862786728767	0.0017984308805543713	5926	0.02136658849373821	9.397368530584252e-06	8.443090586950911e-06	0.265756714481893	-7.155195891078717e-06	2.594993295224722e-05	4565	0.3585973323839074	True	False
Pyramidobacter	-0.0015885838283857883	0.0005158132299835876	0.002081161216922553	-0.0025997665515402413	-0.0005774011052313355	5926	0.02136658849373821	4.062239206505831e-05	1.3904621904026406e-05	0.0035006394364251	1.3362569674785851e-05	6.788221445533076e-05	4565	0.0097512943453456	False	True
Clostridium	-0.005532279016360957	0.0020369293407025723	0.006627044927839393	-0.009525406059012361	-0.0015391519737095538	5926	0.06378530743045416	-3.72988705684838e-05	5.020025863532133e-05	0.4575191615980637	-0.0001357157958031	6.11180546661631e-05	4565	0.5467060231301745	True	False
Turicibacter	0.00422193029277481	0.001614263183128246	0.008935201478759237	0.0010573836186704398	0.00738647696687918	5926	0.08094241339581898	0.0001063477290122	3.804295602112031e-05	0.0052042881733813	3.176503043225442e-05	0.0001809304275922	4565	0.0133194493928911	True	False
Veillonella	-0.008952139287904346	0.0034499765844445327	0.00948689396860804	-0.0157153561165784	-0.0021889224592302903	5926	0.08116564839809101	0.0004084539698748	8.779777804807787e-05	3.377293120414692e-06	0.0002363276184809	0.0005805803212686	4565	2.2172663529679064e-05	False	False
Anaerostipes	-0.0032185629298244725	0.0013513935436660141	0.017266208246470592	-0.005867788897876952	-0.0005693369617719929	5926	0.13994716157665638	-4.409478457458506e-05	3.3901398917236835e-05	0.1934348754819857	-0.000110558016703	2.236844755386593e-05	4565	0.2835792834735907	True	False
Unclassified_Pasteurellaceae	-0.0004890935872922999	0.00021527015798141112	0.02312239566536968	-0.0009111018877937405	-6.708528679085922e-05	5926	0.17804244662334656	3.6532045021900526e-06	5.343082377587767e-06	0.4941830617858591	-6.821835929327215e-06	1.412824493370732e-05	4565	0.5740126333051133	False	False
Aggregatibacter	-0.0016560879881338483	0.000754486377367925	0.028203322232984707	-0.003135157436728859	-0.00017701853953883736	5926	0.20682436304188787	3.2078142087247526e-05	1.940675950023232e-05	0.0984128900372808	-5.968546330355136e-06	7.012483050485019e-05	4565	0.1633005098420814	False	False
Methanobrevibacter	0.002875187722319757	0.0013343637643684595	0.031223648350959688	0.00025934635474634746	0.005491029089893166	5926	0.21856553845671783	0.0001319146003331	3.148546457695393e-05	2.846286128343072e-05	7.01877746656222e-05	0.0001936414260007	4565	0.0001534961447785	True	False
Eggerthella	0.0015636373651564308	0.0007422802695177424	0.035200243547245796	0.00010849635549552259	0.0030187783748173392	5926	0.2356885872293849	-1.831792798764163e-05	1.722831635783542e-05	0.2877272068361075	-5.20938082121894e-05	1.5457952236906142e-05	4565	0.3811123529144933	False	False
Prauseria	0.0008007978111573343	0.0003871825757724863	0.03865817217435297	4.177825025922536e-05	0.0015598173720554433	5926	0.24490823955342636	-7.262828065670029e-06	9.28192300050632e-06	0.4339790881428252	-2.5459912041086735e-05	1.093425590974668e-05	4565	0.5327710756875335	False	False
Unclassified_YS2	0.002183442849180958	0.0010616183659178553	0.03975783109633545	0.00010228228989527617	0.0042646034084666395	5926	0.24490823955342636	-4.060813502937235e-05	2.623905417440707e-05	0.1217830234715374	-9.204944435947e-05	1.0833174300725318e-05	4565	0.191554547335439	False	False
Unclassified_Nocardiopsaceae	0.0008149179771044969	0.00040637460087975083	0.04497261569014122	1.8275022538432055e-05	0.0016115609316705616	5926	0.26637626216468263	-2.162000674753811e-05	1.0150313014506077e-05	0.0332265175895021	-4.151955755092838e-05	-1.720455944147838e-06	4565	0.0627150519501852	False	False
Megamonas	0.006615613157145905	0.003383296670030282	0.0505859682158949	-1.688663381422227e-05	0.013248112948106032	5926	0.28757713133627333	-0.0003157513030015	7.949325507063571e-05	7.235976777529678e-05	-0.0004715967498901	-0.0001599058561128	4565	0.0003524620946474	False	False
Brevibacterium	0.0008151790917115338	0.00041994490606574164	0.0522867511520497	-8.066627875590645e-06	0.0016384248112986583	5926	0.28757713133627333	-1.5312790164282693e-05	9.326457156126116e-06	0.1006870679517798	-3.359718274692912e-05	2.9716024183637343e-06	4565	0.1634811533410619	False	False
Carludovica	0.00047939659710352227	0.0002529895408235432	0.05815095990636603	-1.6555499409560113e-05	0.0009753486936166047	5926	0.3088016491579437	8.273271733498792e-06	5.936186035763002e-06	0.1634759310514773	-3.364540364337281e-06	1.9911083831334865e-05	4565	0.2468486558877308	True	False
Enhydrobacter	0.0007428543558219978	0.0003972018515360438	0.06150290582252124	-3.580665271977058e-05	0.0015215153643637661	5926	0.315714916555609	-1.1122193703322645e-05	9.447453450747274e-06	0.2391498580120622	-2.964379787820221e-05	7.399410471556919e-06	4565	0.3343669311094574	False	False
Bacteroides	-0.017804591712162914	0.009697553667643601	0.06640971382326663	-0.03681534629458477	0.001206162870258945	5926	0.3219673513214462	-0.0012472718326076	0.0002376544036321	1.605419541933013e-07	-0.0017131900631064	-0.0007813536021088	4565	1.7310176129066666e-06	True	False
Blautia	0.004503037915985848	0.002457094178752621	0.06690230676809272	-0.0003137659934390512	0.009319841825410746	5926	0.3219673513214462	-0.0002260618818104	5.873640271828461e-05	0.0001203517641586	-0.0003412138015818	-0.000110909962039	4565	0.0005192318967986	False	False
Unclassified_S24-7	0.004064040384946285	0.0022567779995563897	0.07178302448582952	-0.00036007049568990805	0.008488151265582477	5926	0.3233474933637222	0.0001349380003598	5.4213726917654967e-05	0.012845810002929	2.8652725068631203e-05	0.0002412232756511	4565	0.0285252545653276	True	False
Oscillospira	-0.00278978643178166	0.0015612495635807728	0.07400603577699698	-0.00585040700810061	0.00027083414453728943	5926	0.3233474933637222	2.8139714916487537e-05	3.876228791548664e-05	0.4679031584802322	-4.7853224072439007e-05	0.0001041326539054	4565	0.5515435116448558	False	False
Coprobacillus	0.001764352300473113	0.0009926833234589396	0.07556106441108187	-0.0001816703447334899	0.0037103749456797157	5926	0.3233474933637222	1.8602632577375985e-05	2.1959454270557055e-05	0.396964251271873	-2.444857926674858e-05	6.165384442150055e-05	4565	0.4953851400169656	True	False
Lachnospira	-0.0032696607912379347	0.0018397877778114715	0.07558772572138961	-0.006876318214997455	0.0003369966325215859	5926	0.3233474933637222	-0.000192805125231	4.643219560391855e-05	3.350401814659399e-05	-0.0002838348140704	-0.0001017754363916	4565	0.0001744519565564	True	False
Sphingomonas	0.0010233841238182048	0.0005978166935172745	0.08697326789543808	-0.00014855540188419484	0.0021953236495206047	5926	0.3619968447539855	-3.9829977066340413e-05	1.344212165448275e-05	0.00306165572901	-6.618307399906081e-05	-1.3476880133620018e-05	4565	0.0087228304732172	False	False
Streptococcus	0.006083393973694067	0.0035848267620715206	0.08975239538394719	-0.0009441785595342474	0.01311096650692238	5926	0.36373339181915443	-9.422304850320488e-05	8.392900961380285e-05	0.2616447726156523	-0.0002587647319272	7.03186349208675e-05	4565	0.3585973323839074	False	False
Corynebacterium	0.0006636651792405973	0.00039423657589335125	0.0923469731818149	-0.00010918280372333386	0.0014365131622045284	5926	0.3646521505128076	-1.9677028517733e-05	9.461825454306158e-06	0.0376160966268428	-3.822680881038921e-05	-1.1272482250767928e-06	4565	0.0701238344525094	False	False
