mediator	n_complete	coef_a	p_a	q_a	coef_b	p_b	q_b	total_c	p_total_c	direct_c_prime	p_direct_c_prime	indirect_ab	indirect_ci_low	indirect_ci_high	prop_mediated	prop_mediated_ci_low	prop_mediated_ci_high	comment
anthrop_SBP	4642	10.018477833652186	1.5824610717934108e-21	1.5824610717934107e-20	0.234638582236494	4.049310819131241e-254	4.049310819131241e-253	5.926821593452043	1.708413352247354e-29	3.5761001583961467	1.8260342165426032e-14	2.350721435055891	1.8542010442658097	2.8708876711441715	0.3966242948248977	0.32376873699594344	0.4866870402704081	
anthrop_DBP	4642	3.5613272213081393	4.2300873270051815e-10	2.1150436635025908e-09	0.2086388816437368	1.5838705180832814e-55	5.2795683936109385e-55	5.926821593452043	1.708413352247354e-29	5.183790264830912	5.5980743926404005e-24	0.743031328621127	0.5002899393807617	1.003487535924907	0.12536758815923008	0.08462795860674141	0.17435918760636437	
anthrop_BMI	4635	-0.06893484986039697	0.68167288691719	0.68167288691719	0.06017150796507146	0.18700510776657706	0.18700510776657706	5.936400884080504	1.27434005032581e-29	5.94054879794795	1.1572019780952439e-29	-0.004147913867445881	-0.04293756115264071	0.022295433094980287				prop_mediated NA: ACME and (ACME+ADE) disagree in sign or sum=0
anthrop_waist	4635	1.1453480995242251	0.01414740914397102	0.020210584491387174	0.21557130258929666	4.504483966242181e-40	7.507473277070302e-40	5.936400884080504	1.27434005032581e-29	5.689496702347885	2.5920403371658515e-28	0.2469041817326126	0.05427470783779466	0.45807276541968	0.041591561377657224	0.011561016567743181	0.0758476202409563	
biochem_FBG	4642	0.27992626354327743	0.0012402966606140406	0.0031007416515351012	1.1615509811091893	4.282721257191432e-40	7.507473277070302e-40	5.926821593452043	1.708413352247354e-29	5.601672967395119	1.908775370249555e-27	0.3251486260569234	0.14730089286753545	0.5232293658215817	0.05486053881158628	0.025666695070110938	0.08888350547954162	
biochem_TCHO	4642	0.22410512311526432	1.0220627474249138e-07	3.4068758247497127e-07	0.7873476852496818	1.538795886987978e-05	1.9234948587349724e-05	5.926821593452043	1.708413352247354e-29	5.750372943514643	8.011540905282699e-28	0.1764486499373983	0.08057548647268574	0.2915807826558365	0.02977120994030577	0.01316306796857218	0.050152891119892185	
biochem_TG	4642	0.12812621317427095	0.1089263720818644	0.12102930231318267	1.1313301605957367	1.3893056945556474e-32	1.9847224207937822e-32	5.926821593452043	1.708413352247354e-29	5.7818685441250715	5.913628101517902e-29	0.14495304932697153	-0.04218533310513489	0.3319751996596239	0.024457130527957137	0.003039196802067958	0.05545693607077255	
biochem_UA	4642	11.960313636911895	0.008320612918539404	0.013867688197565673	0.03350792368659985	3.684375560634315e-91	1.8421877803171574e-90	5.926821593452043	1.708413352247354e-29	5.526056316838603	4.572588302278564e-28	0.40076527661344324	0.09133183419160248	0.6990037211522667	0.06761892024153533	0.017556049872195178	0.11482719886241402	
biochem_HDL	4642	0.05336295595354101	0.03966812275462483	0.04958515344328103	-3.9262163753759265	4.971272448155547e-41	1.2428181120388867e-40	5.926821593452043	1.708413352247354e-29	6.136336104955301	1.3619276221491913e-32	-0.20951451150325698	-0.40680231950235324	-0.0367055871006066				prop_mediated NA: ACME and (ACME+ADE) disagree in sign or sum=0
biochem_LDL	4642	0.12431970458499593	0.007488101206149478	0.013867688197565673	0.38012094519363265	0.021145732337030886	0.02349525815225654	5.926821593452043	1.708413352247354e-29	5.8795650698390025	4.845035589087533e-29	0.04725652361304184	0.002483785497645186	0.11888182136385558	0.007973333239058668	0.0008405298167264588	0.01974961360847897	
